Z,HQ,HK,N_CTX_Q,N_CTX_K,D_HEAD,causal,dropout_p,layout,use_exp2,scale_per_head,mismatched_elems,total_elems,mismatched_percentage,greatest_abs_diff,greatest_rel_diff
4,6,1,128,217,256,True,0.0,thd,False,False,5910,121344,4.9,0.04248046875,312.5
4,6,2,113,211,128,True,0.0,thd,False,False,1883,42240,4.5,0.044921875,1045.0
4,6,2,108,256,128,True,0.0,thd,False,False,1777,33792,5.3,0.036865234375,53.1875
4,6,1,256,512,64,True,0.0,thd,False,False,1592,42624,3.7,0.0439453125,256.5
4,6,1,512,256,64,True,0.0,thd,False,False,2208,116352,1.9,0.051025390625,30.84375
4,6,2,1024,1024,32,True,0.0,thd,False,False,950,107328,0.9,0.0419921875,199.375
4,6,2,1023,1024,32,True,0.0,thd,False,False,294,72960,0.4,0.034912109375,176.75
4,6,6,1024,1023,32,True,0.0,thd,False,False,962,107328,0.9,0.03955078125,30.953125
4,6,6,2048,2048,32,True,0.0,thd,False,False,564,254784,0.2,0.0380859375,14.546875
1,1,1,2,4,16,False,0.0,thd,False,False,2,32,6.2,0.025390625,0.222900390625
1,2,2,2,4,16,False,0.0,thd,False,False,3,64,4.7,0.021240234375,0.27099609375
1,4,1,2,4,16,False,0.0,thd,False,False,11,128,8.6,0.0302734375,0.233642578125
1,4,2,2,4,16,False,0.0,thd,False,False,11,128,8.6,0.0263671875,0.919921875
1,1,1,4,4,16,False,0.0,thd,False,False,3,64,4.7,0.025390625,0.233642578125
1,2,2,4,4,16,False,0.0,thd,False,False,6,128,4.7,0.021240234375,0.27099609375
2,1,1,4,4,16,False,0.0,thd,False,False,4,48,8.3,0.02099609375,0.132080078125
2,2,2,4,4,16,False,0.0,thd,False,False,6,96,6.2,0.0218505859375,0.10833740234375
1,1,1,128,64,16,False,0.0,thd,False,False,62,1600,3.9,0.02490234375,2.19921875
2,3,3,2,128,16,False,0.0,thd,False,False,5,96,5.2,0.01953125,1.7099609375
3,2,2,256,512,16,False,0.0,thd,False,False,8,2432,0.3,0.016326904296875,0.44287109375
3,3,3,128,128,64,False,0.0,thd,False,False,377,8640,4.4,0.02734375,58.0
2,4,4,1024,1024,64,False,0.0,thd,False,False,5,212736,0.0,0.0142822265625,8.75
4,6,6,108,256,224,False,0.0,thd,False,False,2506,59136,4.2,0.03857421875,279.5
4,8,8,2048,2048,128,False,0.0,thd,False,False,26,1358848,0.0,0.01348876953125,1.9052734375
4,16,16,4096,4096,64,False,0.0,thd,False,False,31,1358848,0.0,0.0135498046875,66.9375
2,4,4,8192,8192,32,False,0.0,thd,False,False,14,761728,0.0,0.01248931884765625,9.5625
4,6,1,113,203,256,False,0.0,thd,False,False,3038,84480,3.6,0.030517578125,63.40625
4,6,1,128,217,256,False,0.0,thd,False,False,3184,121344,2.6,0.030517578125,1558.0
4,6,2,113,211,128,False,0.0,thd,False,False,2345,42240,5.6,0.03369140625,655.5
4,6,2,108,256,128,False,0.0,thd,False,False,1343,33792,4.0,0.0380859375,686.0
4,6,1,256,512,64,False,0.0,thd,False,False,1442,42624,3.4,0.03271484375,166.5
4,6,1,512,256,64,False,0.0,thd,False,False,5174,116352,4.4,0.0361328125,1120.0
4,6,2,1024,1024,32,False,0.0,thd,False,False,34,107328,0.0,0.017578125,11.796875
4,6,2,1023,1024,32,False,0.0,thd,False,False,22,72960,0.0,0.015716552734375,1.3408203125
4,6,6,1024,1023,32,False,0.0,thd,False,False,3147,107328,2.9,0.03521728515625,422.0
4,6,6,2048,2048,32,False,0.0,thd,False,False,8,254784,0.0,0.01336669921875,3.2734375
